Category,Query
Broker,List all customers and their email addresses.
Broker,"Find the full address (address1, address2, city, state, country, postal_code) for the customer with _id 'CUST_XYZ'."
Broker,Show all customers who joined in the year 2023.
Broker,What is the status of the customer named 'Alice Wonderland'?
Broker,Retrieve all transactions made by the customer with phone number '555-123-4567'.
Broker,List all available tickers.
Broker,Find the ticker with the symbol 'GOOGL'.
Broker,"What is the name, type, and exchange for the ticker with _id 'TICK_ABC'?"
Broker,Show all tickers that are currently marked as active.
Broker,List all tickers trading in 'USD' currency.
Broker,Retrieve all transactions associated with the ticker symbol 'MSFT'.
Broker,"Get the daily open, high, low, and close prices for ticker 'AMZN' on '2023-10-27'."
Broker,"List all daily price records where the volume was greater than 1,000,000 shares."
Broker,What is the ticker symbol and name for the daily price record with ticker_id 'TICK_PQR' and date '2023-06-15'?
Broker,Show all financial transactions (from the Transactions collection).
Broker,Find the transaction details for transaction_id 'TXN_001'.
Broker,List all 'SELL' type transactions.
Broker,Show transactions that occurred on '2023-11-20' between 9:00 AM and 5:00 PM.
Broker,"What were the shares, price, and total amount for transaction_id 'TXN_002'?"
Broker,Which customers made transactions for the ticker 'NVDA'?
Broker,What tickers did the customer with _id 'CUST_PQR' transact in?
Broker,Find the names of customers in 'Texas' who have a 'Gold' status.
Broker,List all daily high and low prices for ticker 'AAPL' during November 2023.
Broker,What is the total commission paid for transaction 'TXN_COMMISSION_EXAMPLE'?
Broker,Show all transactions with a 'Pending' status.
Broker,Show all customer names and their join dates.
Broker,What is the postal code for the customer with email 'bob.smith@email.com'?
Broker,List all transactions made by customer _id 'BROKER_CUST_007'.
Broker,Find all tickers on the 'NYSE' exchange that are of type 'ETF'.
Broker,Get the daily closing price and volume for ticker 'TSLA' on '2023-05-05'.
Broker,Which customers have an 'Inactive' status and live in 'Florida'?
Broker,What is the transaction type and amount for transaction_id 'BROKER_TXN_123'?
Broker,List all 'BUY' transactions for more than 50 shares of any ticker.
Broker,Show the symbols and names of all tickers that are not active.
Broker,"For customer 'BROKER_CUST_101', list the names of tickers they have traded."
Broker,What is the average closing price for ticker 'IBM' in the last 30 days?
Broker,List customers who made transactions in a currency other than 'USD'.
Dealership,"List all cars with their make, model, year, and color."
Dealership,Find the car with VIN 'ABC123XYZ789'.
Dealership,What is the engine type and transmission for car _id 52?
Dealership,"Show all sales records (sale_price, sale_date) for the car with _id 75."
Dealership,List all cars that were in inventory on '2023-03-15'.
Dealership,"Who are the salespersons, and what are their hire dates?"
Dealership,Find the salesperson with phone number '555-987-6543'.
Dealership,List all sales made by salesperson _id 9.
Dealership,"Show all customer names and their addresses (city, state)."
Dealership,What cars (make and model) were purchased by customer _id 112?
Dealership,List all payments made to the vendor 'Global Auto Parts'.
Dealership,Show all payments received for sale _id 240.
Dealership,What was the sale price and sale date for sale _id 350?
Dealership,Retrieve payment amount and method for payments linked to sale _id 460.
Dealership,Which salespersons sold a 'Chevrolet Silverado'?
Dealership,List customers from 'New York' (state) who purchased a car in 2023.
Dealership,What is the total cost of all 'BMW' cars currently recorded?
Dealership,"Which cars were sold by 'Sarah Connor' (salesperson first_name, last_name)?"
Dealership,List all blue cars with a V6 engine.
